id_evento,id_usuario,tipo_evento,timestamp_registro,dados_origem_json
ev_007150,usr_01257,adicionar_ao_carrinho,2026-06-05T00:00:02.000000Z,"{""id_produto"": ""prod_102"", ""dispositivo"": ""desktop_windows"", ""ip_cliente"": ""192.168.202.69""}"
ev_001542,usr_00253,adicionar_ao_carrinho,2026-06-05T00:00:02.000000Z,"{""id_produto"": ""prod_103"", ""dispositivo"": ""desktop_windows"", ""ip_cliente"": ""192.168.235.86""}"
ev_009893,usr_01460,visualizar_produto,2026-06-05T00:00:05.000000Z,"{""id_produto"": ""prod_103"", ""dispositivo"": ""mobile_android"", ""ip_cliente"": ""192.168.178.27""}"
ev_006907,usr_00946,adicionar_ao_carrinho,2026-06-05T00:00:09.000000Z,"{""id_produto"": ""prod_104"", ""dispositivo"": ""desktop_mac"", ""ip_cliente"": ""192.168.157.100""}"
ev_009244,usr_00956,visualizar_produto,2026-06-05T00:00:19.000000Z,"{""id_produto"": ""prod_110"", ""dispositivo"": ""mobile_android"", ""ip_cliente"": ""192.168.102.177""}"
ev_009063,usr_01302,adicionar_ao_carrinho,2026-06-05T00:00:30.000000Z,"{""id_produto"": ""prod_103"", ""dispositivo"": ""mobile_ios"", ""ip_cliente"": ""192.168.69.91""}"
ev_004211,usr_01476,adicionar_ao_carrinho,2026-06-05T00:00:36.000000Z,"{""id_produto"": ""prod_101"", ""dispositivo"": ""desktop_windows"", ""ip_cliente"": ""192.168.178.228""}"
ev_002098,usr_01234,visualizar_produto,2026-06-05T00:00:48.000000Z,"{""id_produto"": ""prod_113"", ""dispositivo"": ""desktop_windows"", ""ip_cliente"": ""192.168.154.137""}"
ev_004959,usr_01296,adicionar_ao_carrinho,2026-06-05T00:00:51.000000Z,"{""id_produto"": ""prod_104"", ""dispositivo"": ""desktop_windows"", ""ip_cliente"": ""192.168.150.6""}"
ev_001497,usr_01440,adicionar_ao_carrinho,2026-06-05T00:00:55.000000Z,"{""id_produto"": ""prod_110"", ""dispositivo"": ""mobile_android"", ""ip_cliente"": ""192.168.121.106""}"
ev_009085,usr_00103,visualizar_produto,2026-06-05T00:01:06.000000Z,"{""id_produto"": ""prod_111"", ""dispositivo"": ""desktop_windows"", ""ip_cliente"": ""192.168.161.206""}"
ev_001019,usr_00938,adicionar_ao_carrinho,2026-06-05T00:01:06.000000Z,"{""id_produto"": ""prod_113"", ""dispositivo"": ""desktop_mac"", ""ip_cliente"": ""192.168.190.110""}"
ev_008948,usr_01271,limpar_carrinho,2026-06-05T00:01:07.000000Z,"{""id_produto"": ""prod_103"", ""dispositivo"": ""mobile_android"", ""ip_cliente"": ""192.168.40.96""}"
ev_002549,usr_00915,visualizar_produto,2026-06-05T00:01:34.000000Z,"{""id_produto"": ""prod_105"", ""dispositivo"": ""mobile_android"", ""ip_cliente"": ""192.168.252.150""}"
ev_000671,usr_00500,visualizar_produto,2026-06-05T00:01:52.000000Z,"{""id_produto"": ""prod_108"", ""dispositivo"": ""desktop_mac"", ""ip_cliente"": ""192.168.125.53""}"
ev_003399,usr_00387,visualizar_produto,2026-06-05T00:02:03.000000Z,"{""id_produto"": ""prod_115"", ""dispositivo"": ""mobile_ios"", ""ip_cliente"": ""192.168.10.22""}"
